date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3,raw_text,clean_text,len_raw,len_clean
2014-11-10,Argentine Farmers may be Denied Credit due to Lack of Soy Sales,Agricultural Equipment Sales in Brazil down 16%,Farmers in Parana Wrapping up Corn and Soybean Planting,Mato Grosso do Sul has Storage for only 60% of its Grain Production,Restrictions on Safrinha Soy may be modified for Seed Producers,Low Prices and high Costs Lowers Enthusiasm for Safrinha Corn,Soybean Moratorium in Amazon Region Extended until May of 2016,Soybeans Gain Acreage from Sugarcane in Sao Paulo Brazil,Argentine Farmers continue to be Slow Sellers of their Grain,Most Soy Planting in Parana Should be Completed within a Week,"9,91",1,1,Argentine Farmers may be Denied Credit due to Lack of Soy Sales Most Soy Planting in Parana Should be Completed within a Week Agricultural Equipment Sales in Brazil down 16% Farmers in Parana Wrapping up Corn and Soybean Planting Mato Grosso do Sul has Storage for only 60% of its Grain Production Restrictions on Safrinha Soy may be modified for Seed Producers Low Prices and high Costs Lowers Enthusiasm for Safrinha Corn Soybean Moratorium in Amazon Region Extended until May of 2016 Soybeans Gain Acreage from Sugarcane in Sao Paulo Brazil Argentine Farmers continue to be Slow Sellers of their Grain,argentine farmer denied credit due lack soy sale soy planting parana completed within agricultural equipment sale brazil farmer parana wrapping corn soybean planting mato grosso sul storage grain production restriction safrinha soy modified seed producer low price high cost lower enthusiasm safrinha corn soybean moratorium amazon region extended soybean gain acreage sugarcane sao paulo brazil argentine farmer continue slow seller grain,101,61
2014-12-10,Early 2014/15 Soybean Yields in Brazil are Variable,Brazilian Scientists feel Safrinha Soybean Production Unstainable,Brazilian State of Rondonia expands Soybean Acreage by 26%,Early Soybean Harvest getting underway in Brazil,Soybeans Increase their Dominance of First Crop Planting in Brazil,Early Soybean Harvest started in Mato Grosso before Christmas,Cotton Acreage to decline 12% in Mato Grosso,Peak of Soy Harvest in Mato Grosso will be Feb 15th to March 7th,Soybeans to Occupy 73% of the Cropland in Western Bahia,Ranchers in Mato Grosso do Sul combining Cattle and Soybean Production,"10,3",1,1,Early 2014/15 Soybean Yields in Brazil are Variable Ranchers in Mato Grosso do Sul combining Cattle and Soybean Production Brazilian Scientists feel Safrinha Soybean Production Unstainable Brazilian State of Rondonia expands Soybean Acreage by 26% Early Soybean Harvest getting underway in Brazil Soybeans Increase their Dominance of First Crop Planting in Brazil Early Soybean Harvest started in Mato Grosso before Christmas Cotton Acreage to decline 12% in Mato Grosso Peak of Soy Harvest in Mato Grosso will be Feb 15th to March 7th Soybeans to Occupy 73% of the Cropland in Western Bahia,early soybean yield brazil variable rancher mato grosso sul combining cattle soybean production brazilian scientist feel safrinha soybean production unstainable brazilian state rondonia expands soybean acreage early soybean harvest getting underway brazil soybean increase dominance first crop planting brazil early soybean harvest started mato grosso christmas cotton acreage decline mato grosso peak soy harvest mato grosso feb march soybean occupy cropland western bahia,93,63
2015-01-12,Brazil Soybean Harvest is 10% Complete,254 Cases of Soybean Rust in Brazil Slight Increase over Last Week,Dryness in Brazil Encourages Fast Soy Harvest Slow Corn Planting,6% of Mato Grosso's Soybeans lost Pre and Post-Harvest,Soybean Looper Numbers Highest in 10 years in Southern Brazil,Brazilian Ports Increase Capacity to Accommodate Larger Soy Crop,Early Soybean Harvest in Mato Grosso off to Surprisingly Fast Start,First Vessel Loading Soybeans at Port of Paranagua,Farmers in Mato Grosso have sold 45% of their Soy Sales Slowing,Brazilian Farmers Confronting Increased Pest Pressures,"10,38",0,0,Brazil Soybean Harvest is 10% Complete Brazilian Farmers Confronting Increased Pest Pressures 254 Cases of Soybean Rust in Brazil Slight Increase over Last Week Dryness in Brazil Encourages Fast Soy Harvest Slow Corn Planting 6% of Mato Grosso's Soybeans lost Pre and Post-Harvest Soybean Looper Numbers Highest in 10 years in Southern Brazil Brazilian Ports Increase Capacity to Accommodate Larger Soy Crop Early Soybean Harvest in Mato Grosso off to Surprisingly Fast Start First Vessel Loading Soybeans at Port of Paranagua Farmers in Mato Grosso have sold 45% of their Soy Sales Slowing,brazil soybean harvest complete brazilian farmer confronting increased pest pressure case soybean rust brazil slight increase last dryness brazil encourages fast soy harvest slow corn planting mato grossos soybean lost pre postharvest soybean looper number highest year southern brazil brazilian port increase capacity accommodate larger soy crop early soybean harvest mato grosso surprisingly fast start first vessel loading soybean port paranagua farmer mato grosso sold soy sale slowing,93,68
2015-02-10,Soybean Yields in Mato Grosso have Stagnated over the last 15 Years,Record Breaking Soybean Crop Expected in Rio Grande do Sul,Rio Grande do Sul Registers Most Cases of Soybean Rust in Brazil,Grain Trucks Blockaded in Mato Grosso to Protest High Fuel Prices,Mato Grosso Farmers free to Plant Safrinha Soy this Growing Season,2014/15 Brazil Soybean Harvest Slower than Last Two Years,"Work Started on Improving Brazil's ""Soybean Highway""",Brazilian Farmers have Sold 38% of their Soybeans vs 54% Average,Conab Lowers 2014/15 Brazilian Soy Estimate in February Report,Soy-Free Dates in Mato Grosso set from May 1st to September 15th,"9,82",0,-1,"Soybean Yields in Mato Grosso have Stagnated over the last 15 Years Soy-Free Dates in Mato Grosso set from May 1st to September 15th Record Breaking Soybean Crop Expected in Rio Grande do Sul Rio Grande do Sul Registers Most Cases of Soybean Rust in Brazil Grain Trucks Blockaded in Mato Grosso to Protest High Fuel Prices Mato Grosso Farmers free to Plant Safrinha Soy this Growing Season 2014/15 Brazil Soybean Harvest Slower than Last Two Years Work Started on Improving Brazil's ""Soybean Highway"" Brazilian Farmers have Sold 38% of their Soybeans vs 54% Average Conab Lowers 2014/15 Brazilian Soy Estimate in February Report",soybean yield mato grosso stagnated last year soyfree date mato grosso set september record breaking soybean crop expected rio grande sul rio grande sul register case soybean rust brazil grain truck blockaded mato grosso protest high fuel price mato grosso farmer free plant safrinha soy growing season brazil soybean harvest slower last year work started improving brazil soybean highway brazilian farmer sold soybean average conab lower brazilian soy estimate february,104,70
2015-03-10,Farmers in Paraguay increased their Safrinha Soybean Acreage,Soybean Harvest in Mato Grosso Nearing Completion,Weak Currency Stimulates 2014/15 and 2015/16 Soy Sales in Brazil,Paraguay Farmers are First and Last to Harvest Soy in S. America,"""Plant Your Future"" reduced Insecticide use on Soybeans by 50%",Soybean Production continues to expand in Northeastern Brazil,Interest Rates on Agricultural Production Loans to Increase in Brazil,Brazil Soybeans 61% Harvested Argentine Soybeans 2% Harvested,2015 U.S. Crop Acreage - 89 mac of Corn and 85-86 mac of Soybeans,Vessel Lineup in Brazil for Soybeans Larger than last Year,10,1,1,"Farmers in Paraguay increased their Safrinha Soybean Acreage Vessel Lineup in Brazil for Soybeans Larger than last Year Soybean Harvest in Mato Grosso Nearing Completion Weak Currency Stimulates 2014/15 and 2015/16 Soy Sales in Brazil Paraguay Farmers are First and Last to Harvest Soy in S. America ""Plant Your Future"" reduced Insecticide use on Soybeans by 50% Soybean Production continues to expand in Northeastern Brazil Interest Rates on Agricultural Production Loans to Increase in Brazil Brazil Soybeans 61% Harvested Argentine Soybeans 2% Harvested 2015 U.S. Crop Acreage - 89 mac of Corn and 85-86 mac of Soybeans",farmer paraguay increased safrinha soybean acreage vessel lineup brazil soybean larger last soybean harvest mato grosso nearing completion weak currency stimulates soy sale brazil paraguay farmer first last harvest soy america plant future reduced insecticide soybean soybean production continues expand northeastern brazil interest rate agricultural production loan increase brazil brazil soybean harvested argentine soybean harvested crop acreage mac corn mac soybean,97,61
2015-04-09,Corn prices fall in southern Goias,State of Tocantins in NE Brazil is emerging Soybean Producer,Soybean Farmers in Uruguay facing tight or nonexistent Margins,Brazilian Soy Producers Face Higher Fertilizer and Fuel Costs,Record Production Resulting in Mountains of Soybeans in Argentina,Volunteer Corn Becoming more of a Problem in Brazilian Soy Fields,Argentine Farmers will probably be Slow Sellers of their 2014/15 Soy,Cotton Acreage and Production to Decline in Brazil,White Flies becoming a Problem for Soybean Producers in Bahia,Farmers Disappointed with Soy Hoping for Better Safrinha Corn,"9,76",0,-1,Corn prices fall in southern Goias Farmers Disappointed with Soy Hoping for Better Safrinha Corn State of Tocantins in NE Brazil is emerging Soybean Producer Soybean Farmers in Uruguay facing tight or nonexistent Margins Brazilian Soy Producers Face Higher Fertilizer and Fuel Costs Record Production Resulting in Mountains of Soybeans in Argentina Volunteer Corn Becoming more of a Problem in Brazilian Soy Fields Argentine Farmers will probably be Slow Sellers of their 2014/15 Soy Cotton Acreage and Production to Decline in Brazil White Flies becoming a Problem for Soybean Producers in Bahia,corn price fall southern goias farmer disappointed soy hoping better safrinha corn state tocantins brazil emerging soybean producer soybean farmer uruguay facing tight nonexistent margin brazilian soy producer face higher fertilizer fuel cost record production resulting mountain soybean argentina volunteer corn becoming problem brazilian soy field argentine farmer probably slow seller soy cotton acreage production decline brazil white fly becoming problem soybean producer bahia,92,64
2015-05-12,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,Soybean-Free Period to Start in Mato Grosso on June 1st,Forward Selling of Corn in Brazil Remains Slow,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Amount of Soybeans Barged down Madeira River Increasing,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Soybeans in Brazil will start to Flow like the Water - Down River,Mato Grosso Corn Farmers have good Yields and Low Prices,Increase in Minimum Wheat Price not enough say Brazilian Farmers,"9,72",0,0,Mato Grosso Debating 9% Export Tax on Soybeans and Corn Increase in Minimum Wheat Price not enough say Brazilian Farmers Brazil's Harvest Plan Barely keeps pace with Inflation and Costs Soybean-Free Period to Start in Mato Grosso on June 1st Forward Selling of Corn in Brazil Remains Slow U.S. Corn and Soybean Planting Continue ahead of the Average Pace Amount of Soybeans Barged down Madeira River Increasing Ag Cooperatives in Rio Grande do Sul Increase Market Share Soybeans in Brazil will start to Flow like the Water - Down River Mato Grosso Corn Farmers have good Yields and Low Prices,mato grosso debating export tax soybean corn increase minimum wheat price enough brazilian farmer brazil harvest plan barely keep pace inflation cost soybeanfree period start mato grosso june forward selling corn brazil remains slow corn soybean planting continue ahead average pace amount soybean barged madeira river increasing cooperative rio grande sul increase market share soybean brazil start flow like water river mato grosso corn farmer good yield low price,100,69
2015-06-10,June Acreage Report Overestimates Harvested Acreage,Trip Report - Indiana and Ohio,Corn Condition Improves Slightly Soybean Condition Holds Steady,Brazilian Farmers have Sold 17% of their 2015/16 Soy Production,Brazil sets new Monthly Record for Soybean and Poultry Exports,Brazilian Farmers seen as Increasing Soy Acreage 1%-5% in 2015/16,Trip Report - Illinois Iowa Missouri,U.S. Crop Conditions Decline again due to Wetness,Chemicals used to Control Soy Rust in Brazil losing Effectiveness,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,"9,41",0,-1,June Acreage Report Overestimates Harvested Acreage Parana may Follow M. Grosso in Limiting Safrinha Soy Production Trip Report - Indiana and Ohio Corn Condition Improves Slightly Soybean Condition Holds Steady Brazilian Farmers have Sold 17% of their 2015/16 Soy Production Brazil sets new Monthly Record for Soybean and Poultry Exports Brazilian Farmers seen as Increasing Soy Acreage 1%-5% in 2015/16 Trip Report - Illinois Iowa Missouri U.S. Crop Conditions Decline again due to Wetness Chemicals used to Control Soy Rust in Brazil losing Effectiveness,june acreage overestimate harvested acreage parana follow grosso limiting safrinha soy production trip indiana ohio corn condition improves slightly soybean condition hold steady brazilian farmer sold soy production brazil set monthly record soybean poultry export brazilian farmer seen increasing soy acreage trip illinois iowa missouri crop condition decline due wetness chemical used control soy rust brazil losing effectiveness,84,58
2015-07-10,Corn price in Mato Grosso improve due to Weaker Currency,Soybeans Enters Second Century of Production in Rio Grande do Sul,"Brazil's ""Soybean Highway"" Frustrates Farmers in Mato Grosso",U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Corn-Based Ethanol Production Promoted in Mato Grosso,Corn Condition Improves Slightly Soybean Condition Unchanged,Survey for August Crop Report now Underway,Brazilian Currency Devalued 4.79% Last Week Lifting Soy Prices,Soaring Electricity Costs Impacting Brazilian Agriculture,Trip Report - Illinois ,"9,89",1,1,"Corn price in Mato Grosso improve due to Weaker Currency Trip Report - Illinois Soybeans Enters Second Century of Production in Rio Grande do Sul Brazil's ""Soybean Highway"" Frustrates Farmers in Mato Grosso U.S. Corn Condition Unchanged Soybean Condition Up Slightly Corn-Based Ethanol Production Promoted in Mato Grosso Corn Condition Improves Slightly Soybean Condition Unchanged Survey for August Crop Report now Underway Brazilian Currency Devalued 4.79% Last Week Lifting Soy Prices Soaring Electricity Costs Impacting Brazilian Agriculture",corn price mato grosso improve due weaker currency trip illinois soybean enters second century production rio grande sul brazil soybean highway frustrates farmer mato grosso corn condition unchanged soybean condition slightly cornbased ethanol production promoted mato grosso corn condition improves slightly soybean condition unchanged survey august crop underway brazilian currency devalued last lifting soy price soaring electricity cost impacting brazilian agriculture,77,61
2015-08-12,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop,Cotton Acreage in Mato Grosso to Increase 2%,Dry Beans in Brazil losing Acreage to Soybeans,Month-By-Month Crop Production Cycle in Brazil,Brazil's 2015 Soybean Exports have already Surpassed all of 2014,U.S. Crop Conditions Hold Steady or Decline Slightly,Grain Production in Brazil Increasing Faster than Storage Space,Wheat Production in South America Encountering Obstacles,Input Sales in Mato Grosso Brazil Continue to Lag Last Year,Paranagua Grain Exports to increase 71% over next 3 months,"9,92",0,0,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop Paranagua Grain Exports to increase 71% over next 3 months Cotton Acreage in Mato Grosso to Increase 2% Dry Beans in Brazil losing Acreage to Soybeans Month-By-Month Crop Production Cycle in Brazil Brazil's 2015 Soybean Exports have already Surpassed all of 2014 U.S. Crop Conditions Hold Steady or Decline Slightly Grain Production in Brazil Increasing Faster than Storage Space Wheat Production in South America Encountering Obstacles Input Sales in Mato Grosso Brazil Continue to Lag Last Year,farmer mato grosso sul sold soy crop paranagua grain export increase next month cotton acreage mato grosso increase dry bean brazil losing acreage soybean monthbymonth crop production cycle brazil brazil soybean export already surpassed crop condition hold steady decline slightly grain production brazil increasing faster storage space wheat production south america encountering obstacle input sale mato grosso brazil continue lag last,90,61
2015-09-11,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,Southwestern Parana has most Advanced Soybean Planting in Brazil,State of Parana Leads Early Soybean Planting in Brazil,2015/16 Soybean Crop in Brazil 2-3% Planted,Frost and Wet Weather Result in Lower Brazilian Wheat Production,Timid Soybean Planting Pace in Mato Grosso New Regulations,Most Advanced Soybean Planting in Brazil is in the State of Parana,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Brazilians Forward Selling Encouraged by Weaker Currency,Producing Soy and Corn in Brazil Costs More due to Weak Currency,"8,94",0,-1,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production Producing Soy and Corn in Brazil Costs More due to Weak Currency Southwestern Parana has most Advanced Soybean Planting in Brazil State of Parana Leads Early Soybean Planting in Brazil 2015/16 Soybean Crop in Brazil 2-3% Planted Frost and Wet Weather Result in Lower Brazilian Wheat Production Timid Soybean Planting Pace in Mato Grosso New Regulations Most Advanced Soybean Planting in Brazil is in the State of Parana Parana to follow Mato Grosso and Prohibit Safrinha Soy Production Brazilians Forward Selling Encouraged by Weaker Currency,parana follows mato grosso prohibiting safrinha soy production producing soy corn brazil cost due weak currency southwestern parana advanced soybean planting brazil state parana lead early soybean planting brazil soybean crop brazil planted frost wet weather result lower brazilian wheat production timid soybean planting pace mato grosso regulation advanced soybean planting brazil state parana parana follow mato grosso prohibit safrinha soy production brazilian forward selling encouraged weaker currency,94,68
2015-10-09,Improved Rainfall aids Brazil Soybean Planting Progress,Soy Producers Want Rail Link from Mato Grosso to Amazon River,Soybean Industry Promoting more Biodiesel use in Brazil,Brazil Looking for Farmers Who Can Produce 124 bu/ac Soybeans,Brazil's Corn Exports Ramp up as Soybean Exports Wind Down,Soybean Planting Passes Half Way Mark in Parana,Brazil Soybean Planting Progress Depends on Location,Mato Grosso Farmers Must Now Register Their Soybean Production,Brazilian Soybean Producers at Disadvantage due to High Freight,Soybean Planting Slowed by Dry Weather in Central Brazil,"8,8",0,-1,Improved Rainfall aids Brazil Soybean Planting Progress Soybean Planting Slowed by Dry Weather in Central Brazil Soy Producers Want Rail Link from Mato Grosso to Amazon River Soybean Industry Promoting more Biodiesel use in Brazil Brazil Looking for Farmers Who Can Produce 124 bu/ac Soybeans Brazil's Corn Exports Ramp up as Soybean Exports Wind Down Soybean Planting Passes Half Way Mark in Parana Brazil Soybean Planting Progress Depends on Location Mato Grosso Farmers Must Now Register Their Soybean Production Brazilian Soybean Producers at Disadvantage due to High Freight,improved rainfall aid brazil soybean planting progress soybean planting slowed dry weather central brazil soy producer want rail link mato grosso amazon river soybean industry promoting biodiesel brazil brazil looking farmer produce buac soybean brazil corn export ramp soybean export wind soybean planting pass half mark parana brazil soybean planting progress depends location mato grosso farmer must register soybean production brazilian soybean producer disadvantage due high freight,88,67
2015-11-10,Port of Paranagua Increases Grain Exports despite Excess Rainfall,Wetness and Soybean Rust Worries Farmers in Rio Grande do Sul,Mato Grosso Expected to Double Corn Production in Ten Years,Rio Grande do Sul Reports Most Cases of Soybean Rust in Brazil,Freight Costs in Mato Grosso Increase due to New Tolls,Delayed Rains Offers Opportunity to Plant Soy in Central Brazil,Cotton Third Most Important Crop in Mato Grosso after Soy Corn,Irregular Rainfall in Mato Grosso Worries Soybean Producers,Soybean Rust Moving into Commercial Soybean Fields in Brazil,Brazil Soybeans 60% Planted Behind Average of 71%,"8,89",1,1,Port of Paranagua Increases Grain Exports despite Excess Rainfall Brazil Soybeans 60% Planted Behind Average of 71% Wetness and Soybean Rust Worries Farmers in Rio Grande do Sul Mato Grosso Expected to Double Corn Production in Ten Years Rio Grande do Sul Reports Most Cases of Soybean Rust in Brazil Freight Costs in Mato Grosso Increase due to New Tolls Delayed Rains Offers Opportunity to Plant Soy in Central Brazil Cotton Third Most Important Crop in Mato Grosso after Soy Corn Irregular Rainfall in Mato Grosso Worries Soybean Producers Soybean Rust Moving into Commercial Soybean Fields in Brazil,port paranagua increase grain export despite excess rainfall brazil soybean planted behind average wetness soybean rust worry farmer rio grande sul mato grosso expected double corn production ten year rio grande sul report case soybean rust brazil freight cost mato grosso increase due toll delayed rain offer opportunity plant soy central brazil cotton third important crop mato grosso soy corn irregular rainfall mato grosso worry soybean producer soybean rust moving commercial soybean field brazil,98,74
2015-12-09,Slow Start to Soy Harvest in Mato Grosso 1st Case of Rust Confirmed,Early Soybean Harvest Underway in Select Areas of Brazil,Weaker Currency Buoys Domestic Commodity Prices in Brazil,Brazil Farmers Waiting Until Harvest Complete to Continue Selling,Farmers in Piaui ask for Waver to Plant Soybeans Later than Normal,Imea Rates 43% of Mato Grosso's Soybeans as Poor to Very Poor,Northern Arc of Ports in Brazil Increase Grain Exports by 50%,Farms in Brazil Want Deadline for Soy Planting Extended 30 Days,Soybeans in Mato Grosso under Moisture Stress,Agricultural Chemical Sales in Brazil Decline 23% in 2015,"8,72",0,-1,Slow Start to Soy Harvest in Mato Grosso 1st Case of Rust Confirmed Agricultural Chemical Sales in Brazil Decline 23% in 2015 Early Soybean Harvest Underway in Select Areas of Brazil Weaker Currency Buoys Domestic Commodity Prices in Brazil Brazil Farmers Waiting Until Harvest Complete to Continue Selling Farmers in Piaui ask for Waver to Plant Soybeans Later than Normal Imea Rates 43% of Mato Grosso's Soybeans as Poor to Very Poor Northern Arc of Ports in Brazil Increase Grain Exports by 50% Farms in Brazil Want Deadline for Soy Planting Extended 30 Days Soybeans in Mato Grosso under Moisture Stress,slow start soy harvest mato grosso case rust confirmed agricultural chemical sale brazil decline early soybean harvest underway select area brazil weaker currency buoy domestic commodity price brazil brazil farmer waiting harvest complete continue selling farmer piaui ask waver plant soybean later normal imea rate mato grossos soybean poor poor northern arc port brazil increase grain export farm brazil want deadline soy planting extended day soybean mato grosso moisture stress,101,70
2016-01-12,Conab Lowers Brazilian Soybean Estimate Increases Corn Estimate,Minister of Agriculture asked to Step up Efforts to Control Soy Rust,Brazil Soybean Harvest 4% Two Points Behind Last Year,Corn Prices in Rio Grande do Sul are 45% Higher than Last Year,30% of the Soybeans in Mato Grosso Rated Poor to Very Poor,Brazil Soybean Harvest Starts Slowly with 1.5% Harvested,Brazil to Sell Corn Stocks to ease Shortages in Southern Brazil,Wet Weather Slows Soy Harvest in Mato Grosso Poor Seed Quality,Record Exports from Paranagua no Soybeans have arrived as Yet,Freight Rates Increase due to Devalued Brazilian Currency,"8,71",0,0,Conab Lowers Brazilian Soybean Estimate Increases Corn Estimate Freight Rates Increase due to Devalued Brazilian Currency Minister of Agriculture asked to Step up Efforts to Control Soy Rust Brazil Soybean Harvest 4% Two Points Behind Last Year Corn Prices in Rio Grande do Sul are 45% Higher than Last Year 30% of the Soybeans in Mato Grosso Rated Poor to Very Poor Brazil Soybean Harvest Starts Slowly with 1.5% Harvested Brazil to Sell Corn Stocks to ease Shortages in Southern Brazil Wet Weather Slows Soy Harvest in Mato Grosso Poor Seed Quality Record Exports from Paranagua no Soybeans have arrived as Yet,conab lower brazilian soybean estimate increase corn estimate freight rate increase due devalued brazilian currency minister agriculture asked step effort control soy rust brazil soybean harvest point behind last corn price rio grande sul higher last soybean mato grosso rated poor poor brazil soybean harvest start slowly harvested brazil sell corn stock ease shortage southern brazil wet weather slows soy harvest mato grosso poor seed quality record export paranagua soybean arrived yet,102,72
2016-02-09,High Corn Prices Reduce Buying Power of Poultry Producers,Record Corn Exports result in Strong Domestic Corn Prices in Brazil,Farmers in Central Brazil face Higher Freight Costs and New Tolls,Soy in NE Brazil Continue to Suffer Under Hot and Dry Conditions,Tolls as High as $1.00 per Bushel for Soybeans Leaving Mato Grosso,Brazil Could Double Soybean Production in Cerrado Area,Livestock producers in Santa Catarina want Relief from high Corn Prices,Large Lineup of Vessel in Brazil Waiting for Soybeans,Goias Soybeans 40% Harvested with an Average Yield of 47.8 bu/ac,Parana Soybeans 41% Harvested Safrinha Corn 60% Planted,"8,77",0,0,High Corn Prices Reduce Buying Power of Poultry Producers Parana Soybeans 41% Harvested Safrinha Corn 60% Planted Record Corn Exports result in Strong Domestic Corn Prices in Brazil Farmers in Central Brazil face Higher Freight Costs and New Tolls Soy in NE Brazil Continue to Suffer Under Hot and Dry Conditions Tolls as High as $1.00 per Bushel for Soybeans Leaving Mato Grosso Brazil Could Double Soybean Production in Cerrado Area Livestock producers in Santa Catarina want Relief from high Corn Prices Large Lineup of Vessel in Brazil Waiting for Soybeans Goias Soybeans 40% Harvested with an Average Yield of 47.8 bu/ac,high corn price reduce buying power poultry producer parana soybean harvested safrinha corn planted record corn export result strong domestic corn price brazil farmer central brazil face higher freight cost toll soy brazil continue suffer hot dry condition toll high per bushel soybean leaving mato grosso brazil double soybean production cerrado area livestock producer santa catarina want relief high corn price large lineup vessel brazil waiting soybean goias soybean harvested average yield buac,102,73
2016-03-09,Domestic Corn Prices in Brazil Continue Strong,Brazil and Argentina increase use of Biofuels,U.S. Corn Acreage may be lower than Prospective Plantings Report,More of Mato Grosso's Soybeans Exported out of Amazon River,Harvest in Mato Grosso 92% Complete More Soybeans Move North,Brazil's Wheat Production could Increase in Spite of Lower Acreage,Mato Grosso Shipping Equivalent of One Vessel of Soybeans per Day,Costs Increasing in Brazil Farmers Purchasing Inputs for Next Year,Brazilian Soybean Crop 67% Harvested 2% behind Last Year,Tight Supplies Result in Record High Corn Prices in Southern Brazil,"8,71",0,0,Domestic Corn Prices in Brazil Continue Strong Tight Supplies Result in Record High Corn Prices in Southern Brazil Brazil and Argentina increase use of Biofuels U.S. Corn Acreage may be lower than Prospective Plantings Report More of Mato Grosso's Soybeans Exported out of Amazon River Harvest in Mato Grosso 92% Complete More Soybeans Move North Brazil's Wheat Production could Increase in Spite of Lower Acreage Mato Grosso Shipping Equivalent of One Vessel of Soybeans per Day Costs Increasing in Brazil Farmers Purchasing Inputs for Next Year Brazilian Soybean Crop 67% Harvested 2% behind Last Year,domestic corn price brazil continue strong tight supply result record high corn price southern brazil brazil argentina increase biofuels corn acreage lower prospective planting mato grossos soybean exported amazon river harvest mato grosso complete soybean move north brazil wheat production increase spite lower acreage mato grosso shipping equivalent vessel soybean per cost increasing brazil farmer purchasing input next brazilian soybean crop harvested behind last,95,64
2016-04-12,Wheat Production to Increase in Argentina Decrease in Brazil,Argentina Lost 7.5% of its Soybean Acreage to Flooding,Estimates for Brazil's Safrinha Corn Continue to Decline,2015/16 Argentine Soybeans Lowered 1.0 mt to 56.0 Million Tons,Wheat Acreage in Parana Continues to Decline,Flooding Causes Extensive Damage to Argentine Soybean Crop,2015/16 Uruguay Soybean Estimate Lowered 0.5 mt to 2.5 Million,2016/17 South American Soybean Crop could face Hurdles,2015/16 South American Soybean Production now Below Last Year,2015/16 Will be Last Safrinha Soybean Crop in Parana,"9,06",1,1,Wheat Production to Increase in Argentina Decrease in Brazil 2015/16 Will be Last Safrinha Soybean Crop in Parana Argentina Lost 7.5% of its Soybean Acreage to Flooding Estimates for Brazil's Safrinha Corn Continue to Decline 2015/16 Argentine Soybeans Lowered 1.0 mt to 56.0 Million Tons Wheat Acreage in Parana Continues to Decline Flooding Causes Extensive Damage to Argentine Soybean Crop 2015/16 Uruguay Soybean Estimate Lowered 0.5 mt to 2.5 Million 2016/17 South American Soybean Crop could face Hurdles 2015/16 South American Soybean Production now Below Last Year,wheat production increase argentina decrease brazil last safrinha soybean crop parana argentina lost soybean acreage flooding estimate brazil safrinha corn continue decline argentine soybean lowered million ton wheat acreage parana continues decline flooding cause extensive damage argentine soybean crop uruguay soybean estimate lowered million south american soybean crop face hurdle south american soybean production last,87,55
2016-05-10,Domestic Soybean Prices Surge in Brazil,Estimates of the Safrinha Corn Crop in Brazil Continue to Decline,Soybean Prices at Brazilian Ports could hit R$ 100 Per Sack,U.S. Corn Planting 94% Soy 73% Both Slightly Ahead of Average,Trip Report - Indiana and Western Ohio,Initial 2016 U.S. Corn Production Estimate - 14.0 Billion Bushels,Initial 2016 U.S. Soybean Production Estimate - 3.88 Billion Bushels,Conab Indicated Brazil's Corn and Soy Exports need to Slow Down,"Strong Corn Prices in Brazil could result in ""Washouts"" in late 2016",Brazil's Cotton Production to Decline 7.8% and Probably More,"10,01",1,1,"Domestic Soybean Prices Surge in Brazil Brazil's Cotton Production to Decline 7.8% and Probably More Estimates of the Safrinha Corn Crop in Brazil Continue to Decline Soybean Prices at Brazilian Ports could hit R$ 100 Per Sack U.S. Corn Planting 94% Soy 73% Both Slightly Ahead of Average Trip Report - Indiana and Western Ohio Initial 2016 U.S. Corn Production Estimate - 14.0 Billion Bushels Initial 2016 U.S. Soybean Production Estimate - 3.88 Billion Bushels Conab Indicated Brazil's Corn and Soy Exports need to Slow Down Strong Corn Prices in Brazil could result in ""Washouts"" in late 2016",domestic soybean price surge brazil brazil cotton production decline probably estimate safrinha corn crop brazil continue decline soybean price brazilian port hit per sack corn planting soy slightly ahead average trip indiana western ohio initial corn production estimate billion bushel initial soybean production estimate billion bushel conab indicated brazil corn soy export need slow strong corn price brazil result washout late,98,61
